suspect_age,victim_age,suspect_sex,victim_sex,crime_law,day_of_month,month,precinct
18-24,25-44,M,M,MISDEMEANOR,26,3,17
25-44,25-44,M,F,FELONY,28,3,5
25-44,45-64,M,M,FELONY,26,3,19
25-44,25-44,F,F,MISDEMEANOR,23,3,14
45-64,45-64,F,M,MISDEMEANOR,29,3,6
45-64,25-44,F,F,VIOLATION,24,3,32
18-24,18-24,M,F,MISDEMEANOR,26,3,33
18-24,18-24,M,M,MISDEMEANOR,22,3,28
18-24,18-24,M,F,MISDEMEANOR,25,3,1
<18,<18,F,F,FELONY,29,3,24
25-44,25-44,M,F,FELONY,28,3,14
25-44,18-24,M,F,FELONY,29,6,14
25-44,25-44,M,M,VIOLATION,27,3,6
25-44,25-44,M,M,MISDEMEANOR,29,3,14
25-44,65+,M,M,VIOLATION,17,3,26
25-44,25-44,M,F,MISDEMEANOR,31,3,9
65+,65+,M,F,VIOLATION,30,3,13
25-44,45-64,M,M,FELONY,29,3,23
25-44,25-44,M,M,VIOLATION,21,3,14
25-44,25-44,M,F,VIOLATION,24,3,9
18-24,18-24,M,F,MISDEMEANOR,27,3,14
45-64,45-64,M,F,VIOLATION,18,3,23
25-44,25-44,M,F,FELONY,29,3,33
25-44,25-44,M,F,VIOLATION,29,3,32
25-44,25-44,M,F,MISDEMEANOR,23,3,20
18-24,45-64,M,F,MISDEMEANOR,31,3,9
45-64,25-44,F,F,VIOLATION,23,3,23
18-24,45-64,M,M,MISDEMEANOR,23,3,9
25-44,25-44,M,F,FELONY,24,3,9
25-44,25-44,M,F,VIOLATION,28,3,32
25-44,45-64,M,M,MISDEMEANOR,30,3,18
25-44,45-64,M,F,MISDEMEANOR,23,3,14
25-44,45-64,M,M,VIOLATION,25,3,28
18-24,<18,M,F,FELONY,29,3,32
65+,45-64,M,F,VIOLATION,26,3,23
45-64,45-64,M,F,VIOLATION,25,3,24
18-24,45-64,M,M,VIOLATION,25,3,23
25-44,18-24,M,M,FELONY,31,3,1
45-64,45-64,M,F,VIOLATION,25,3,28
18-24,25-44,M,F,VIOLATION,30,3,30
25-44,18-24,M,F,FELONY,31,3,1
25-44,45-64,M,F,MISDEMEANOR,23,3,28
25-44,<18,M,M,MISDEMEANOR,14,12,24
18-24,25-44,M,F,MISDEMEANOR,26,3,28
45-64,45-64,M,M,VIOLATION,26,3,18
25-44,25-44,M,F,MISDEMEANOR,31,3,1
45-64,45-64,F,F,VIOLATION,22,3,26
25-44,25-44,M,F,FELONY,27,3,33
18-24,45-64,F,F,MISDEMEANOR,26,3,24
25-44,65+,M,M,FELONY,30,3,9
45-64,45-64,M,F,VIOLATION,22,3,28
45-64,65+,M,M,FELONY,22,3,32
25-44,45-64,M,F,MISDEMEANOR,24,3,28
45-64,25-44,M,F,MISDEMEANOR,27,3,19
